Category,TotalRevenue,RecordCount
Serie B,25570.00,10601
Ethniki Katigoria,18706.00,7520
Super League,26250.00,8998
Liga 1,16680.00,6946
La Liga Santandar ,31262.00,11741
Scottish League one,13582.00,4618
Bundesliga 1,27175.00,9286
KPN Eredivisie,27745.00,9052
Premier Division,5628.00,2236
Liga I,20932.00,8323
Ligue 1,26460.00,10817
Premier League,14154.00,5672
National league,27198.00,10058
Scottish Premiership,16459.00,6183
La Liga SmartBank,28275.00,12152
Bundesliga,12930.00,4394
Ligi 1,25597.00,9171
English Premier league,31514.00,11757
Scottish League two,13013.00,4531
Serie A,50127.00,19801
Scottish Championship,13828.00,5162
Jupiler League,22252.00,7705
Allsvenskan,16134.00,5790
Veikkausliiga,11274.00,4386
Premier Division ,5964.00,2224
Eliteserien,17342.00,5800
Liga Profesional ,9664.00,4228
MLS,27526.00,9646
English Football League One,42705.00,16448
Bundesliga 2,24704.00,8999
English Championship,42698.00,16597
Liga Profesional,9208.00,4118
Copa de la Liga Profesional,2614.00,1026
Ekstraklasa,17802.00,6778
Ligue 2,23112.00,9966
Superliga,8132.00,2914
J1 League,7456.00,2888
 J1 League,12566.00,4716
English Football League Two,41561.00,16326
Liga MX,20630.00,7834
Copa De La Liga Profesional,1450.00,712
Superliga ,5616.00,2100
Veikkausliiga ,20.00,10
Allsvenskan ,50.00,14
Challenge League,20.00,4
