Pulse Pipeline Final Report
===========================
Category             | Revenue         | Count     
---------------------------------------------------
23/05/2010           | 2012.00         | 1         
05/05/2018           | 2020.00         | 1         
12/11/2022           | 6077.00         | 3         
23/12/2022           | 4054.00         | 2         
18/04/2022           | 4058.00         | 2         
26/04/2017           | 2024.00         | 1         
23/03/2024           | 2028.00         | 1         
04/05/2019           | 2022.00         | 1         
25/09/2019           | 2024.00         | 1         
17/02/2019           | 2023.00         | 1         
21/11/2022           | 4054.00         | 2         
23/10/2023           | 4054.00         | 2         
29/10/2023           | 4048.00         | 2         
10/04/2023           | 4050.00         | 2         
29/04/2022           | 4050.00         | 2         
05/05/2012           | 2012.00         | 1         
10/09/2016           | 4042.00         | 2         
23/04/2016           | 4038.00         | 2         
08/05/2016           | 2020.00         | 1         
28/04/2015           | 2020.00         | 1         
29/03/2014           | 2018.00         | 1         
16/05/2010           | 2013.00         | 1         
29/11/2017           | 2019.00         | 1         
16/02/2020           | 2022.00         | 1         
26/12/2021           | 6069.00         | 3         
26/11/2022           | 4054.00         | 2         
19/12/2022           | 4060.00         | 2         
29/09/2023           | 4058.00         | 2         
06/02/2022           | 6068.00         | 3         
14/04/2019           | 6067.00         | 3         
10/03/2019           | 2022.00         | 1         
03/04/2016           | 2019.00         | 1         
02/05/2022           | 2022.00         | 1         
26/08/2023           | 2023.00         | 1         
06/01/2024           | 2027.00         | 1         
09/03/2024           | 2024.00         | 1         
29/11/2003           | 2007.00         | 1         
21/02/2020           | 2024.00         | 1         
28/10/2006           | 4014.00         | 2         
09/09/2017           | 2019.00         | 1         
07/01/2018           | 2020.00         | 1         
29/10/2016           | 2017.00         | 1         
01/03/2017           | 2023.00         | 1         
21/05/2017           | 2022.00         | 1         
09/01/2016           | 4039.00         | 2         
17/01/2016           | 2021.00         | 1         
08/11/2014           | 2020.00         | 1         
15/02/2015           | 2019.00         | 1         
08/03/2015           | 2021.00         | 1         
08/04/2015           | 2018.00         | 1         
09/05/2015           | 4034.00         | 2         
25/01/2014           | 4033.00         | 2         
02/03/2014           | 2018.00         | 1         
09/03/2014           | 2016.00         | 1         
16/03/2014           | 2020.00         | 1         
26/03/2014           | 2016.00         | 1         
05/04/2014           | 2017.00         | 1         
12/04/2014           | 2017.00         | 1         
26/04/2014           | 2017.00         | 1         
22/09/2012           | 2014.00         | 1         
20/03/2012           | 2019.00         | 1         
03/06/2012           | 2012.00         | 1         
03/02/2021           | 2023.00         | 1         
